year,month,rank,RET
2002,11,4,0.012485200000000002
2002,11,5,0.09530402777777777
2002,11,6,0.09518114285714285
2002,11,7,0.10032319444444443
2002,11,8,0.06102537142857143
2002,11,9,0.41491425
2002,11,diff,0.17440752777777777
2002,12,0,0.025944222222222223
2002,12,1,-0.028738
2002,12,2,-0.07250431428571429
2002,12,3,-0.011518714285714283
2002,12,4,0.001545942857142853
2002,12,5,-0.018023999999999995
2002,12,6,-0.05775423529411765
2002,12,7,-0.03925583333333333
2002,12,8,-0.04165091428571429
2002,12,9,-0.11571177142857143
2002,12,diff,-0.14165599365079365
2003,1,0,-0.030855416666666666
2003,1,1,-0.03153994285714286
2003,1,2,-0.03382288571428572
2003,1,3,-0.0039410857142857135
2003,1,4,-0.01436862857142857
2003,1,5,-0.014636428571428573
2003,1,6,0.0059491764705882355
2003,1,7,-0.006353277777777775
2003,1,8,0.009323828571428569
2003,1,9,0.033274085714285716
2003,1,diff,0.06412950238095239
2003,2,0,0.005197361111111112
2003,2,1,-0.020794314285714287
2003,2,2,-0.013320428571428573
2003,2,3,-0.011256828571428571
2003,2,4,-0.07730191428571428
2003,2,5,-0.0633012
2003,2,6,-0.07950585714285714
2003,2,7,-0.020544800000000002
2003,2,8,-0.0468814
2003,2,9,-0.03155502777777778
2003,2,diff,-0.03675238888888889
2003,3,0,-0.0025720285714285742
2003,3,1,0.005901971428571427
2003,3,2,0.00017899999999999953
2003,3,3,-0.006219114285714286
2003,3,4,-0.005916028571428573
2003,3,5,0.036326823529411766
2003,3,6,-0.008824942857142859
2003,3,7,-0.01017470588235294
2003,3,8,-0.03338328571428571
2003,3,9,0.0021392857142857116
2003,3,diff,0.004711314285714286
2003,4,0,0.0829652
2003,4,1,0.1000254
2003,4,2,0.08027050000000001
2003,4,3,0.09942054285714286
2003,4,4,0.07305317647058825
2003,4,5,0.10804651428571428
2003,4,6,0.14119876470588236
2003,4,7,0.06871197142857143
2003,4,8,0.12035279411764706
2003,4,9,0.18586942857142855
2003,4,diff,0.10290422857142854
2003,5,0,0.21595185714285714
2003,5,1,0.04814647058823529
2003,5,2,0.11167567647058824
2003,5,3,0.04539494117647059
2003,5,4,0.08385341176470588
2003,5,5,0.13041826470588236
2003,5,6,0.13447635294117646
2003,5,7,0.0931004705882353
2003,5,8,0.11693085294117647
2003,5,9,0.2889735142857143
2003,5,diff,0.07302165714285713
2003,6,0,0.127769
2003,6,1,0.020069514285714286
2003,6,2,0.014747085714285716
2003,6,3,0.058262742857142856
2003,6,4,0.07200748571428572
2003,6,5,0.0094384
2003,6,6,0.06665934285714287
2003,6,7,0.02499608571428571
2003,6,8,0.06344505714285714
2003,6,9,0.0625744
2003,6,diff,-0.06519459999999999
2003,7,0,0.18858525714285715
2003,7,1,0.062107942857142856
2003,7,2,0.03531082857142857
2003,7,3,0.039337323529411765
2003,7,4,0.07856177142857142
2003,7,5,0.06691425714285715
2003,7,6,0.05372717647058824
2003,7,7,0.08486394285714287
2003,7,8,0.10122965714285714
2003,7,9,0.06085688571428571
2003,7,diff,-0.12772837142857144
2003,8,0,0.03295242857142857
2003,8,1,0.06551747058823529
2003,8,2,0.038405029411764706
2003,8,3,0.04861377142857143
2003,8,4,0.02716864705882353
2003,8,5,0.026408705882352942
2003,8,6,0.06111508571428572
2003,8,7,0.03140685294117647
2003,8,8,0.05496564705882353
2003,8,9,0.05688928571428572
2003,8,diff,0.02393685714285715
2003,9,0,-0.0101355
2003,9,1,0.0016381764705882356
2003,9,2,-0.007283823529411766
2003,9,3,0.017659088235294117
2003,9,4,-0.01924758823529412
2003,9,5,0.023777323529411767
2003,9,6,-0.026301470588235294
2003,9,7,0.03469885294117647
2003,9,8,0.05251629411764706
2003,9,9,0.046878823529411764
2003,9,diff,0.05701432352941176
2003,10,0,0.10388667647058825
2003,10,1,0.06455255882352941
2003,10,2,0.07082617647058824
2003,10,3,0.11208491176470589
2003,10,4,0.06827905882352941
2003,10,5,0.0932984411764706
2003,10,6,0.05435755882352941
2003,10,7,0.07322714705882354
2003,10,8,0.06840470588235294
2003,10,9,0.06437229411764707
2003,10,diff,-0.03951438235294118
2003,11,0,0.03588314705882352
2003,11,1,0.009208393939393942
2003,11,2,0.10837972727272727
2003,11,3,0.056614727272727275
2003,11,4,0.04624276470588235
2003,11,5,0.025788848484848484
2003,11,6,0.004946939393939396
2003,11,7,0.01570657575757576
2003,11,8,0.12147781818181817
2003,11,9,0.010931735294117647
2003,11,diff,-0.024951411764705875
2003,12,0,0.015851666666666663
2003,12,1,0.007869515151515152
2003,12,2,0.04712121212121212
2003,12,3,0.02776809090909091
2003,12,4,0.029409757575757575
2003,12,5,0.030130687500000003
2003,12,6,0.03815254545454545
2003,12,7,0.04741257575757576
2003,12,8,0.07218936363636363
2003,12,9,0.1152010303030303
2003,12,diff,0.09934936363636364
2004,1,0,0.09464215151515153
2004,1,1,0.07065250000000001
2004,1,2,-0.007128454545454546
2004,1,3,0.040290781250000005
2004,1,4,0.04145766666666667
2004,1,5,0.0206193125
2004,1,6,0.07329865625
2004,1,7,0.0586839696969697
2004,1,8,0.09983565625
2004,1,9,0.07084372727272727
2004,1,diff,-0.02379842424242426
2004,2,0,0.008825272727272727
2004,2,1,0.010212874999999996
2004,2,2,0.011335000000000001
2004,2,3,0.01255625
2004,2,4,0.029466848484848485
2004,2,5,0.0038985312499999997
2004,2,6,-0.014393187499999998
2004,2,7,-0.017445281250000003
2004,2,8,0.02476290625
2004,2,9,0.060589393939393936
2004,2,diff,0.051764121212121206
2004,3,0,0.0106701875
2004,3,1,-0.015274187499999998
2004,3,2,-0.01933496875
2004,3,3,0.0002341249999999991
2004,3,4,0.0009877812499999997
2004,3,5,-0.003419741935483871
2004,3,6,-0.0005686562500000021
2004,3,7,0.0019160937500000003
2004,3,8,0.01268025
2004,3,9,0.00672440625
2004,3,diff,-0.0039457812500000005
2004,4,0,-0.06741159375
2004,4,1,-0.013912843749999999
2004,4,2,-0.02101996875
2004,4,3,-0.04555083870967742
2004,4,4,-0.056934
2004,4,5,-0.01300953125
2004,4,6,-0.03499290322580645
2004,4,7,-0.03813784375
2004,4,8,-0.0196323125
2004,4,9,0.016365781250000003
2004,4,diff,0.083777375
2004,5,0,-0.0025650000000000004
2004,5,1,-0.012155937499999998
2004,5,2,0.0033059354838709683
2004,5,3,-0.01707221875
2004,5,4,-0.031981709677419354
2004,5,5,0.011101937500000004
2004,5,6,-0.03311206451612903
2004,5,7,-0.015698875
2004,5,8,-0.026913645161290325
2004,5,9,-0.033856687499999996
2004,5,diff,-0.0312916875
2004,6,0,0.009260470588235294
2004,6,1,0.015209909090909092
2004,6,2,0.03728139393939394
2004,6,3,0.0346919696969697
2004,6,4,-0.008538764705882352
2004,6,5,0.05811578787878788
2004,6,6,0.04271654545454545
2004,6,7,0.06105384848484849
2004,6,8,0.02955
2004,6,9,0.03541438235294118
2004,6,diff,0.026153911764705884
2004,7,0,-0.10310860606060607
2004,7,1,-0.04405372727272727
2004,7,2,-0.041292242424242426
2004,7,3,-0.05984415151515152
2004,7,4,-0.06132330303030303
2004,7,5,-0.027568757575757573
2004,7,6,-0.03996781818181818
2004,7,7,-0.040835
2004,7,8,0.04636933333333333
2004,7,9,-0.03449724242424242
2004,7,diff,0.06861136363636364
2004,8,0,-0.005082911764705883
2004,8,1,0.028175696969696972
2004,8,2,0.005939454545454545
2004,8,3,-0.0003440909090909086
2004,8,4,0.006918818181818181
2004,8,5,0.0008865757575757585
2004,8,6,-0.037978454545454544
2004,8,7,-0.010143
2004,8,8,-0.01426587878787879
2004,8,9,-0.02067512121212121
2004,8,diff,-0.015592209447415328
2004,9,0,0.030764909090909096
2004,9,1,0.03678006060606061
2004,9,2,0.025256818181818182
2004,9,3,0.0471680303030303
2004,9,4,0.012689454545454544
2004,9,5,0.04552757575757576
2004,9,6,0.011706878787878787
2004,9,7,0.04808166666666667
2004,9,8,0.04587330303030303
2004,9,9,0.005739121212121213
2004,9,diff,-0.025025787878787883
2004,10,0,0.01565490909090909
2004,10,1,0.03154039393939394
2004,10,2,0.019439151515151517
2004,10,3,-0.009818575757575759
2004,10,4,0.012336969696969697
2004,10,5,0.004124625000000001
2004,10,6,0.02268127272727273
2004,10,7,0.03172760606060606
2004,10,8,0.018546151515151515
2004,10,9,0.024857999999999998
2004,10,diff,0.009203090909090907
2004,11,0,0.08941048484848484
2004,11,1,0.07430290909090909
2004,11,2,0.05087696875
2004,11,3,0.07266012121212122
2004,11,4,0.08562121875
2004,11,5,0.06260454545454545
2004,11,6,0.11094156250000001
2004,11,7,0.1052379393939394
2004,11,8,0.046242531249999996
2004,11,9,0.08417933333333334
2004,11,diff,-0.005231151515151494
2004,12,0,0.07295718181818181
2004,12,1,0.036532375
2004,12,2,0.0426079375
2004,12,3,0.04797145454545454
2004,12,4,0.01963059375
2004,12,5,0.05730096875
2004,12,6,0.06924124242424243
2004,12,7,0.05714821875
2004,12,8,0.04155321875
2004,12,9,0.048310787878787884
2004,12,diff,-0.024646393939393926
2005,1,0,-0.03789312121212121
2005,1,1,0.013472124999999998
2005,1,2,-0.036004875
2005,1,3,-0.03454296875
2005,1,4,-0.015503593750000001
2005,1,5,-0.03909884375
2005,1,6,-0.03426178125
2005,1,7,-0.014469125000000001
2005,1,8,-0.0246571875
2005,1,9,-0.0029362424242424254
2005,1,diff,0.03495687878787879
2005,2,0,-0.02462630303030303
2005,2,1,0.0236343125
2005,2,2,0.0685103125
2005,2,3,0.010246484848484849
2005,2,4,-0.026690375000000002
2005,2,5,0.01335053125
2005,2,6,0.012899242424242424
2005,2,7,-0.01093240625
2005,2,8,-0.012022343750000001
2005,2,9,0.007863454545454545
2005,2,diff,0.032489757575757575
2005,3,0,-0.12630128125
2005,3,1,-0.023240812500000003
2005,3,2,-0.006705656250000001
2005,3,3,-0.013962531249999998
2005,3,4,-0.01037309375
2005,3,5,-0.016821580645161288
2005,3,6,-0.022793125
2005,3,7,0.02671578125
2005,3,8,-0.02648184375
2005,3,9,-0.0264420625
2005,3,diff,0.09985921875
2005,4,0,-0.06316025
2005,4,1,-0.07678171875
2005,4,2,-0.0531100625
2005,4,3,-0.068225375
2005,4,4,-0.067239875
2005,4,5,-0.06523896774193548
2005,4,6,-0.06473378125
2005,4,7,-0.02825371875
2005,4,8,-0.05304775
2005,4,9,-0.017676125
2005,4,diff,0.045484125
2005,5,0,0.02362
2005,5,1,0.06727587878787879
2005,5,2,0.03721287878787879
2005,5,3,0.042414909090909086
2005,5,4,0.05956121212121212
2005,5,5,0.0215783125
2005,5,6,0.018207090909090912
2005,5,7,0.057347909090909095
2005,5,8,0.015765484848484848
2005,5,9,0.019270242424242422
2005,5,diff,-0.004349757575757576
2005,6,0,0.030037515151515152
2005,6,1,0.0882699696969697
2005,6,2,0.043830242424242424
2005,6,3,0.03895657575757576
2005,6,4,0.03962727272727273
2005,6,5,0.0301425625
2005,6,6,0.03197233333333334
2005,6,7,0.04027809090909091
2005,6,8,0.07265660606060606
2005,6,9,0.03804018181818181
2005,6,diff,0.008002666666666661
2005,7,0,0.08211930303030303
2005,7,1,0.03821790625
2005,7,2,0.011890242424242423
2005,7,3,0.036414375
2005,7,4,0.05844172727272727
2005,7,5,0.0372746875
2005,7,6,0.0956890625
2005,7,7,0.08285318181818181
2005,7,8,0.04739165625
2005,7,9,0.041903333333333334
2005,7,diff,-0.040215969696969694
2005,8,0,0.006707757575757575
2005,8,1,-0.02696821875
2005,8,2,0.003991156249999998
2005,8,3,-0.01398121875
2005,8,4,0.02443396875
2005,8,5,-0.0213120625
2005,8,6,-0.022805718750000002
2005,8,7,-0.024599093750000002
2005,8,8,-0.013201468749999997
2005,8,9,-0.02450721212121212
2005,8,diff,-0.031214969696969696
2005,9,0,-0.0011786874999999992
2005,9,1,-0.020604374999999998
2005,9,2,0.010664225806451611
2005,9,3,-0.016188625
2005,9,4,-0.0125049375
2005,9,5,-0.011223387096774194
2005,9,6,-0.00260634375
2005,9,7,-0.020128967741935486
2005,9,8,0.01084115625
2005,9,9,-0.020302625
2005,9,diff,-0.0191239375
2005,10,0,-0.04003675
2005,10,1,-0.03382048387096774
2005,10,2,-0.05197770967741936
2005,10,3,-0.02365921875
2005,10,4,-0.03297977419354839
2005,10,5,-0.02328567741935484
2005,10,6,-0.0353298125
2005,10,7,-0.038687838709677416
2005,10,8,-0.040508419354838704
2005,10,9,-0.018971
2005,10,diff,0.021065750000000005
2005,11,0,0.035099625
2005,11,1,0.09719912903225807
2005,11,2,0.03935609677419355
2005,11,3,0.04945375
2005,11,4,0.03532925806451613
2005,11,5,0.016576709677419352
2005,11,6,0.0075218125
2005,11,7,0.030731612903225805
2005,11,8,0.024658677419354836
2005,11,9,0.02178525
2005,11,diff,-0.013314375000000003
2005,12,0,0.0326419375
2005,12,1,0.03267474193548387
2005,12,2,-0.0034132580645161296
2005,12,3,0.003606032258064518
2005,12,4,0.0009442258064516135
2005,12,5,0.0034915806451612913
2005,12,6,0.029946193548387096
2005,12,7,-0.006771387096774194
2005,12,8,-0.0036974838709677416
2005,12,9,-0.007229531250000001
2005,12,diff,-0.03987146875
2006,1,0,0.0494176875
2006,1,1,0.08735977419354839
2006,1,2,0.03841667741935484
2006,1,3,0.07234119354838711
2006,1,4,0.058589935483870974
2006,1,5,0.07154835483870968
2006,1,6,0.08888393548387097
2006,1,7,0.06763183870967741
2006,1,8,0.054218612903225806
2006,1,9,0.014221062500000001
2006,1,diff,-0.035196625
2006,2,0,-0.03224528125
2006,2,1,0.00746458064516129
2006,2,2,0.02121048387096774
